Year,#TC > No.8
1970,2
1971,3
1972,1
1973,1
1974,2
1975,1
1976,2
1977,1
1978,2
1979,2
1980,1
1981,1
1982,0
1983,2
1984,1
1985,2
1986,2
1987,0
1988,0
1989,2
1990,0
1991,1
1992,1
1993,4
1994,0
1995,3
1996,1
1997,1
1998,0
1999,5
2000,0
2001,2
2002,1
2003,2
2004,1
2005,0
2006,0
2007,1
2008,4
2009,3
2010,0
2011,1
2012,3
2013,2
2014,1
2015,1
2016,2
2017,5
2018,1
2019,1
2020,2
2021,2
2022,2
1964-06,18581
1964-07,15175
1964-08,10306
1964-09,10792
1964-10,14752
1964-11,13754
1964-12,11738
1965-01,12181
1965-02,12965
1965-03,19990
1965-04,23125
1965-05,23541
1965-06,21247
1965-07,15189
1965-08,14767
1965-09,10895
1965-10,17130
1965-11,17697
1965-12,16611
1966-01,12674
1966-02,12760
1966-03,20249
1966-04,22135
1966-05,20677
1966-06,19933
1966-07,15388
1966-08,15113
1966-09,13401
1966-10,16135
1966-11,17562
1966-12,14720
1967-01,12225
1967-02,11608
1967-03,20985
1967-04,19692
1967-05,24081
1967-06,22114
1967-07,14220
1967-08,13434
1967-09,13598
1967-10,17187
1967-11,16119
1967-12,13713
1968-01,13210
1968-02,14251
1968-03,20139
1968-04,21725
1968-05,26099
1968-06,21084
1968-07,18024
1968-08,16722
1968-09,14385
1968-10,21342
1968-11,17180
1968-12,14577
